Dystans (m),Wysokość (m)
0,21.35917663574219
326.0375947594563,29.77948951721191
652.0751895189126,29.54022789001465
978.1127842783688,26.22011566162109
1304.1503790378251,27.33949851989746
1630.1879737972813,27.70999145507812
1956.2255685567377,33.71554183959961
2282.263163316194,38.0236930847168
2608.3007580756503,39.8541145324707
2934.3383528351064,39.20342254638672
3260.3759475945626,32.56802368164062
3586.4135423540192,23.07124900817871
3912.4511371134754,23.7811164855957
4238.488731872932,25.33467102050781
4564.526326632388,32.53457641601562
4890.563921391844,35.00054931640625
5216.6015161513005,32.34149169921875
5542.639110910757,61.09329986572266
5868.676705670213,70.61608123779297
6194.7143004296695,40.09870147705078
6520.751895189125,29.6057243347168
6846.789489948582,33.52295684814453
7172.8270847080385,29.5557746887207
7498.864679467494,36.1962890625
7824.902274226951,29.22086524963379
8150.939868986407,27.09074401855469
8476.977463745863,21.9742259979248
8803.01505850532,18.78674697875977
9129.052653264776,17.24875640869141
9455.090248024233,16.5751953125
9781.127842783688,15.02498912811279
10107.165437543144,17.83021926879883
10433.203032302601,15.80679321289062
10759.240627062058,13.58351516723633
11085.278221821514,14.63745498657227
11411.31581658097,15.20040988922119
11737.353411340426,15.86324882507324
12063.391006099882,15.62977695465088
12389.428600859339,15.443772315979
12715.466195618796,15.63862037658691
13041.50379037825,15.90142726898193
13367.541385137707,14.0731372833252
13693.578979897164,13.47564315795898
14019.61657465662,12.82214736938477
14345.654169416077,16.96799087524414
14671.691764175534,18.95879554748535
14997.729358934988,17.92719078063965
15323.766953694445,17.01943969726562
15649.804548453902,17.67740440368652
15975.842143213358,22.37144088745117
16301.879737972815,21.08926582336426
16627.91733273227,21.88197898864746
16953.954927491726,28.20767593383789
17279.992522251185,14.40623760223389
17606.03011701064,18.19151878356934
17932.067711770094,37.18452453613281
18258.105306529553,48.17634582519531
18584.142901289008,42.93123245239258
18910.180496048466,37.64186096191406
19236.21809080792,57.18294525146484
19562.255685567376,45.18896102905273
19888.293280326834,26.90137100219727
20214.33087508629,12.59958744049072
20540.368469845747,9.189803123474121
20866.406064605202,8.067479133605957
21192.443659364657,6.146293163299561
21518.481254124115,3.741397857666016
21844.51884888357,4.925626754760742
22170.55644364303,4.047013759613037
22496.594038402483,1.165992379188538
22822.63163316194,1.219129800796509
23148.669227921397,1.291449785232544
23474.70682268085,1.366855263710022
23800.74441744031,1.23226797580719
24126.782012199765,0.8571984767913818
24452.81960695922,0.6796110272407532
24778.857201718678,-0.3913798630237579
25104.894796478133,-0.677949070930481
25430.93239123759,-0.9881135821342468
25756.969985997046,-2.009349822998047
26083.0075807565,-1.062272548675537
26409.04517551596,-2.339279413223267
26735.082770275414,-2.488632678985596
27061.120365034873,-2.697616338729858
27387.157959794327,-1.97014307975769
27713.195554553786,-2
28039.23314931324,-1.065327405929565
28365.270744072695,-2.185985803604126
28691.308338832154,-1.001269340515137
29017.34593359161,-0.5330767035484314
29343.383528351067,-1.063939213752747
29669.421123110522,-2.433966159820557
29995.458717869977,-1.628610134124756
30321.496312629435,-2.198471546173096
30647.53390738889,-2.871267318725586
30973.57150214835,-1.998481631278992
31299.609096907803,-2
31625.646691667258,-2.140768051147461
31951.684286426716,-2.330125570297241
32277.72188118617,-4
32603.75947594563,-3.783681631088257
32929.797070705084,-2.767841815948486
33255.83466546454,-2.467457056045532
33581.872260223994,-2
33907.90985498345,-3
34233.94744974291,-3.035453796386719
34559.98504450237,-2.420182466506958
34886.02263926182,-3.267469882965088
35212.06023402128,-3.491492509841919
35538.09782878074,-2.214107275009155
35864.13542354019,-3.352466344833374
36190.17301829965,-2.367050409317017
36516.210613059106,-2.03917932510376
36842.24820781856,-3.715981006622314
37168.285802578015,-3.533162117004395
37494.32339733747,-3.645151138305664
37820.36099209693,-3.297034025192261
38146.39858685638,-3.197543382644653
38472.43618161584,-3.451839923858643
38798.4737763753,-3.866484403610229
39124.51137113475,-1.039081573486328
39450.54896589421,-1.271676898002625
39776.58656065367,-2.521146059036255
40102.62415541312,-3.999413251876831
40428.66175017258,-2.999571561813354
40754.699344932036,-3.254268646240234
41080.736939691495,-3.051704883575439
41406.774534450946,-4.739940166473389
41732.812129210404,-3.007524967193604
42058.84972396986,-2
42384.887318729314,-1.438442587852478
42710.92491348877,-0.6051596999168396
43036.96250824823,0.3865760266780853
43363.00010300769,-1.021436452865601
43689.03769776714,-0.2650617361068726
44015.0752925266,0
44341.11288728606,-1.208064913749695
44667.15048204551,-2.160712003707886
44993.18807680497,-2.479802846908569
45319.225671564425,-1.933430075645447
45645.26326632388,-2.583272933959961
45971.300861083335,-2.619696378707886
46297.33845584279,-0.6485925316810608
46623.37605060225,-3
46949.4136453617,-4.036327362060547
47275.45124012116,-4.023478507995605
47601.48883488062,-3.211999654769897
47927.52642964007,-4
48253.56402439953,-4.002289295196533
48579.60161915899,-5
48905.63921391844,-4
49231.6768086779,-4.64305591583252
49557.714403437356,-4
49883.751998196814,-4.424646854400635
50209.789592956266,-4.529175758361816
50535.827187715724,-3.744083642959595
