Dystans (m),Wysokość (m)
0,360.0125
40,360.0186735698829
80,360.03117356988287
120,360.04367356988286
160,360.04117356988286
200,360.03867356988286
240,360.0511735698829
280,360.0636735698829
320,360.0611735698829
360,360.0736735698829
400,360.0711735698829
440,360.0686735698829
480,360.0811735698829
520,360.0786735698829
560,360.0761735698829
600,360.0736735698829
640,360.0711735698829
680,360.0836735698829
720,360.0811735698829
760,360.0786735698829
800,360.09117356988287
840,360.08867356988287
880,360.10117356988286
920,360.09867356988286
960,360.09617356988286
1000,360.10867356988285
1040,360.10617356988286
1080,360.1186735698829
1120,360.1161735698829
1160,360.1136735698829
1200,360.1111735698829
1240,360.1236735698829
1280,360.1361735698829
1320,360.1336735698829
1360,360.1461735698829
1400,360.1436735698829
1440,360.15617356988287
1480,360.15367356988287
1520,360.15117356988287
1560,360.16367356988286
1600,360.1761735698829
1640,360.1886735698829
1680,360.19710874164406
1720,360.19460874164406
1760,360.19210874164406
1800,360.18960874164407
1840,360.18710874164407
1880,360.19960874164406
1920,360.21210874164404
1960,360.20960874164405
2000,360.22210874164404
2040,360.21960874164404
2080,360.21710874164404
2120,360.2296087416441
2160,360.2421087416441
2200,360.25460874164406
2240,360.25210874164407
2280,360.24960874164407
2320,360.26210874164406
2360,360.27460874164404
2400,360.27210874164405
2440,360.2735428439777
2480,360.2710428439777
2520,360.2685428439777
2560,360.2810428439777
2600,360.29354284397766
2640,360.30604284397765
2680,360.3185428439777
2720,360.3310428439777
2760,360.3285428439777
2800,360.3410428439777
2840,360.35354284397766
2880,360.36604284397765
2920,360.3785428439777
2960,360.3760428439777
3000,360.3885428439777
3040,360.4010428439777
3080,360.3985428439777
3120,360.41104284397767
3160,360.40854284397767
3200,360.40657565519393
3240,360.4190756551939
3280,360.4315756551939
3320,360.4290756551939
3360,360.4265756551939
3400,360.4240756551939
3440,360.4365756551939
3480,360.44907565519395
3520,360.4465756551939
3560,360.45907565519394
3600,360.47157565519393
3640,360.4840756551939
3680,360.4815756551939
3720,360.4790756551939
3760,360.4765756551939
3800,360.47407565519393
3840,360.4865756551939
3880,360.4990756551939
3920,360.51157565519395
3960,360.5090756551939
4000,360.5065756551939
4040,360.5040756551939
4080,360.5015756551939
4120,360.4990756551939
4160,360.5029470840273
4200,360.5154470840273
4240,360.52794708402735
4280,360.54044708402733
4320,360.5529470840273
4360,360.5654470840273
4400,360.5629470840273
4440,360.5754470840273
4480,360.58794708402735
4520,360.60044708402734
4560,360.6012109875492
4600,360.6137109875492
4640,360.6262109875492
4680,360.6237109875492
4720,360.6362109875492
4760,360.64871098754924
4800,360.6612109875492
4840,360.6587109875492
4880,360.6712109875492
4920,360.6687109875492
4960,360.6812109875492
5000,360.6937109875492
5040,360.6912109875492
5080,360.6887109875492
5120,360.7012109875492
5160,360.6987109875492
5200,360.6962109875492
5240,360.70871098754924
5280,360.7062109875492
5320,360.71871098754923
5360,360.71621098754923
5400,360.7287109875492
5440,360.7262109875492
5480,360.7237109875492
5520,360.7362109875492
5560,360.7337109875492
5600,360.7462109875492
5640,360.7587109875492
5680,360.7562109875492
5720,360.7687109875492
5760,360.78121098754923
5800,360.7937109875492
5840,360.7912109875492
5880,360.7887109875492
5920,360.8012109875492
5960,360.8137109875492
6000,360.8262109875492
6040,360.83871098754923
6080,360.83621098754924
6120,360.8487109875492
6160,360.8612109875492
6200,360.8587109875492
6240,360.8712109875492
6280,360.8837109875492
6320,360.8812109875492
6360,360.8937109875492
6400,360.8912109875492
6440,360.90371098754923
6480,360.9162109875492
6520,360.9137109875492
6560,360.9262109875492
6600,360.9387109875492
6640,360.9512109875492
6680,360.96371098754923
6720,360.96121098754924
6760,360.95871098754924
6800,360.9562109875492
6840,360.9537109875492
6880,360.9660008166078
6920,360.9785008166078
6960,360.9910008166078
7000,361.0035008166078
7040,361.0160008166078
7080,361.0285008166078
7120,361.0260008166078
7160,361.0385008166078
7200,361.0510008166078
7240,361.0485008166078
7280,361.0460008166078
7320,361.0585008166078
7360,361.0561545380752
7400,361.06865453807524
7440,361.0811545380752
7480,361.0936545380752
7520,361.0911545380752
7560,361.0886545380752
7600,361.0861545380752
7640,361.0986545380752
7680,361.1111545380752
7720,361.1086545380752
7760,361.1211545380752
7800,361.13365453807523
7840,361.13115453807524
7880,361.1436545380752
7920,361.1561545380752
7960,361.1536545380752
8000,361.1661545380752
8040,361.1786545380752
8080,361.19115453807524
8120,361.2036545380752
8160,361.20115453807523
8200,361.19865453807523
8240,361.2111545380752
8280,361.2236545380752
8320,361.2361545380752
8360,361.24865453807524
8400,361.26115453807523
8440,361.2736545380752
8480,361.2861545380752
8520,361.2986545380752
8560,361.2961545380752
8600,361.3086545380752
8640,361.3061545380752
8680,361.3036545380752
8720,361.3011545380752
8760,361.31365453807524
8800,361.32615453807523
8840,361.32365453807523
8880,361.3361545380752
8920,361.3336545380752
8960,361.3311545380752
9000,361.3436545380752
9040,361.3561545380752
9080,361.3536545380752
9120,361.3511545380752
9160,361.3636545380752
9200,361.3611545380752
9240,361.37365453807524
9280,361.38615453807523
9320,361.38365453807523
9360,361.3961545380752
9400,361.4086545380752
9440,361.4061545380752
9480,361.4186545380752
9520,361.4161545380752
9560,361.4286545380752
9600,361.4261545380752
9640,361.43468089392854
9680,361.44718089392853
9720,361.4596808939285
9760,361.4571808939285
9800,361.4546808939285
9840,361.4521808939285
9880,361.44968089392853
9920,361.4621808939285
9960,361.4746808939285
10000,361.4721808939285
10040,361.4846808939285
10080,361.49718089392854
10120,361.50968089392853
10160,361.50718089392853
10200,361.50468089392854
10240,361.5171808939285
10280,361.5146808939285
10320,361.5271808939285
10360,361.5396808939285
10400,361.5371808939285
10440,361.54968089392855
10480,361.5471808939285
10520,361.5446808939285
10560,361.5421808939285
10600,361.5396808939285
10640,361.55218089392855
10680,361.54968089392855
10720,361.5471808939285
10760,361.55968089392854
10800,361.57218089392853
10840,361.56968089392853
10880,361.5821808939285
10920,361.5946808939285
10960,361.5921808939285
11000,361.6046808939285
11040,361.61718089392855
11080,361.61468089392855
11120,361.62718089392854
11160,361.62468089392854
11200,361.63718089392853
11240,361.6496808939285
11280,361.6621808939285
11320,361.6596808939285
11360,361.6721808939285
11400,361.6696808939285
11440,361.67450238442495
11480,361.68700238442494
11520,361.699502384425
11560,361.697002384425
11600,361.69619015938923
11640,361.69369015938923
11680,361.69119015938924
11720,361.7036901593892
11760,361.7161901593892
11800,361.7136901593892
11840,361.72619015938926
11880,361.73869015938925
11920,361.75119015938924
11960,361.7636901593892
12000,361.76119015938923
12040,361.75869015938923
12080,361.7711901593892
12120,361.78369015938927
12160,361.79619015938925
12200,361.80869015938924
12240,361.82119015938923
12280,361.81869015938923
12320,361.8311901593892
12360,361.8309708941459
12400,361.8292027738231
12440,361.8417027738231
12480,361.85420277382315
12520,361.86670277382314
12560,361.8792027738231
12600,361.8917027738231
12640,361.9042027738231
12680,361.9017027738231
12720,361.91420277382315
12760,361.92118846838633
12800,361.9336884683864
12840,361.94618846838637
12880,361.94368846838637
12920,361.95618846838636
12960,361.95368846838636
